commit	model	params_B	active_B	tok_sec	ttft_ms	mem_gb	status	description
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	3.33	2246	5.7	discard	variable K=3 middle 40 - EOS, quality collapse (model needs K=4 on ALL layers)
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	5.02	3159	6.1	discard	two-pass 200tok - 150ms/tok (routing=24+IO=72+compute=53) but GARBAGE OUTPUT (wrong routing)
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.55	3116	4.3	discard	speculative prefetch - SLOWER (prefetch evicts useful page cache)
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	10.10	804	5.8	discard	variable K=0 middle 40 layers - 10 TOK/S ACHIEVED but blank output
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	5.27	3972	5.8	keep	TWO-PASS OVERLAPPED: routing=42ms io=1ms(!) compute=88ms = 135ms BEST EVER
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	5.61	2792	6.3	keep	TWO-PASS FINAL: shared expert + overlapped I/O + single eval — 130ms/tok, coherent-ish
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.93	5416	5.4	discard	superset two-pass (h_correction) - 93-99% superset hit but STILL repetitive output
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.73	7674	5.5	discard	cache-restored two-pass - correct attention but 2x compute + 60-88% superset hit = SLOWER
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.20	0	5.7	keep	K=10 (model default) per-layer — best quality, richest output
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.91	0	5.7	keep	K=6 per-layer — same quality as K=10, 59% faster
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	3.15	2730	5.3	keep	K=4 per-layer 200tok QUALITY BEST — excellent output, all optimizations
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	6.02	3511	4.3	keep	K=4 two-pass 500tok SPEED BEST — coherent but repetitive, I/O=1ms overlapped
HEAD	benchmark	0.0	0.0	0.00	0	0	keep	BENCHMARK: single-eval MoE compute = 18.6ms (vs 34.6ms per-layer eval). 46% is orchestration overhead.
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.60	14466	2.2	discard	single-eval two-pass: GPU=39ms(!) but convert=191ms serial bottleneck. 466ms total.
HEAD	benchmark	0.0	0.0	0.00	0	0	keep	BATCH SWEEP: per-layer=20.7ms, every-4=13.0ms, every-15=9.7ms, single=8.6ms (K=10, 60 layers)
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.00	0	0	discard	overlapped route+convert: SLOWER (118ms vs 70ms) — GIL contention kills threading for mx.array
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.00	0	0	keep	C ext pread→Metal buffer: 39ms for 240 experts (43 GB/s) vs Python 188ms — 4.8x speedup, byte-perfect
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	4.22	1558	7.2	discard	fast-load integrated: io_wait=43ms mx.eval=37ms but GARBAGE output (routing→buffer mapping bug)
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.00	0	0	keep	fast_moe_load stacked: 37ms warm (45 GB/s) for 240 experts → pre-stacked Metal buffers
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	8.71	0	0	keep	METAL ENGINE: 114.8ms/tok, I/O=66.9ms(25.4GB/s) compute=114.8ms. Pure C/Metal, no Python.
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	13.90	0	0	keep	METAL ENGINE: 71.9ms! 13.9 tok/s! Per-K scratch buffers → ONE cmd buffer per layer. BROKE 10 TOK/S!
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	14.40	0	0	keep	METAL ENGINE: 69.4ms! CPU weighted sum eliminates 60 cmd buffers. 14.4 tok/s!
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.28	25235	5.5	keep	C/METAL E2E: "The sum of 2+2 is" — COHERENT OUTPUT! CPU attention bottleneck. Shader barrier fix.
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.85	12000	5.5	keep	C/METAL E2E QUALITY: "Here's a thinking process that leads to..." — 1.85 tok/s, GPU matmuls!
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.04	0	5.5	keep	C/METAL FUSED: 3 cmd buffers/layer (was 8). Quality verified bit-perfect. 490ms/tok.
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	4.53	800	5.5	keep	C/METAL PIPELINE: "I am a 22 year old male" — 200ms/tok, 4.53 tok/s! Attention+MoE overlap!
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	5.29	0	5.5	keep	C/METAL: GPU norm+residual shaders, fused cmd buffers. Peak 5.29 tok/s. 189ms/tok.
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	5.24	1368	5.5	keep	C/METAL: parallel pread + async pipeline. Peak 5.24. 'the best way to make a cup of tea?'
